sics_sector,total_disclosures,discrepancy_count,mean_abs_discrepancy,median_abs_discrepancy,max_abs_discrepancy,discrepancy_rate (%)
Consumer Goods,984,0,2.6900339228048073e-11,0.0,7.450580596923828e-09,0.0
Extractives & Minerals Processing,914,0,4.951143876116527e-10,0.0,1.1920928955078125e-07,0.0
Financials,1297,8,129477638.94486506,0.0,167752687308.0,0.6168080185042405
Food & Beverage,882,0,1.3222836179483487e-10,0.0,2.9802322387695312e-08,0.0
Health Care,628,0,1.5876964286811707e-11,0.0,3.725290298461914e-09,0.0
Information Not Available,21728,2,570.0888563144865,0.0,12386731.67,0.009204712812960236
Infrastructure,1624,0,3.455982298368855e-11,0.0,1.4901161193847656e-08,0.0
Renewable Resources & Alternative Energy,142,0,1.2401912986398445e-10,0.0,7.450580596923828e-09,0.0
Resource Transformation,2113,0,8.397836498868647e-11,0.0,5.960464477539063e-08,0.0
Services,615,0,6.128737264751964e-12,0.0,9.313225746154785e-10,0.0
Technology & Communications,1753,0,5.5515397058500887e-11,0.0,1.4901161193847656e-08,0.0
Transportation,1001,0,1.0823804678601937e-10,0.0,5.960464477539063e-08,0.0
