,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Consumer Goods,74.57364341085271,69.09871244635193,81.1460258780037,78.56,79.1095890410959,84.49111470113085,76.34408602150538,60.49382716049383,69.61770623742454,36.986301369863014,63.21585903083701,64.44866920152091,55.714285714285715,67.74193548387096,52.23880597014925
Infrastructure,81.789802289282,74.02945113788488,88.71851040525739,74.74402730375427,82.48847926267281,88.25431034482759,79.08745247148289,65.64102564102564,64.88888888888889,69.86301369863014,80.35714285714286,68.15068493150685,83.52668213457076,79.16666666666666,62.00873362445415
Resource Transformation,76.30996309963099,72.03791469194313,80.83475298126065,74.0452065471551,78.1195079086116,81.84059161873459,77.01252236135957,59.2814371257485,63.57421875,38.362068965517246,61.93001060445387,64.31767337807607,55.6910569105691,29.166666666666668,61.21794871794872
Financials,81.01983002832861,60.45340050377834,84.74264705882352,64.30868167202573,78.80690737833595,94.27917620137299,67.30205278592375,65.83850931677019,63.46153846153846,53.57142857142857,75.22123893805309,70.79646017699115,56.372549019607845,27.027027027027028,57.611940298507456
Services,75.93052109181141,72.87581699346404,84.63768115942028,68.06083650190115,76.22950819672131,86.26506024096385,73.82198952879581,69.10569105691057,60.544217687074834,29.03225806451613,60.33057851239669,65.89147286821705,68.36734693877551,57.14285714285714,60.17699115044248
Health Care,70.8433734939759,71.51162790697676,80.29411764705883,72.16494845360825,80.62015503875969,87.61904761904762,78.55361596009975,70.94017094017094,58.47750865051903,41.55844155844156,66.66666666666666,68.97810218978103,72.85714285714285,36.36363636363637,54.02298850574713
Technology & Communications,82.25806451612904,77.34553775743707,87.21719457013575,77.44533947065592,81.33472367049009,88.85987815491731,82.48315688161694,75.29976019184652,71.10091743119266,49.224806201550386,71.55499367888748,70.17543859649122,70.3971119133574,58.77192982456141,68.21705426356588
Food & Beverage,79.74683544303798,68.83720930232559,81.88679245283019,79.38671209540034,80.07246376811594,82.26691042047533,74.7323340471092,64.15094339622641,74.1106719367589,53.97727272727273,66.47398843930635,73.60178970917227,65.69343065693431,65.0,56.86274509803921
Transportation,81.61648177496038,74.45255474452554,85.60747663551402,75.86872586872587,80.0,81.86619718309859,77.98861480075901,58.64661654135338,70.53571428571429,46.52777777777778,78.03468208092485,71.66123778501628,69.81132075471697,71.1340206185567,68.0
Extractives & Minerals Processing,81.74904942965779,64.63414634146342,83.51409978308027,80.42553191489363,76.57142857142857,80.6930693069307,75.20891364902506,50.98039215686274,75.77197149643705,62.093862815884485,68.90243902439023,62.33183856502242,58.22784810126582,61.76470588235294,65.0
Renewable Resources & Alternative Energy,85.26315789473684,70.6896551724138,84.61538461538461,84.375,83.09859154929578,88.73239436619718,87.87878787878788,37.5,79.66101694915254,66.66666666666666,50.0,65.9090909090909,75.0,0.0,62.5
