,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Consumer Goods,32.6,34.1,33.2,33.2,30.1,30.1,31.5,35.5,32.1,33.4,35.6,34.3,35.4,34.1,36.6
Infrastructure,31.7,33.0,32.1,32.2,30.2,27.4,31.1,33.9,32.6,31.8,32.6,32.4,33.1,31.4,34.9
Resource Transformation,33.4,33.9,33.6,33.6,32.7,31.1,32.9,36.2,33.4,35.8,36.4,36.8,36.7,34.7,38.1
Financials,33.1,34.1,33.5,33.0,30.3,30.3,31.3,34.3,32.3,31.9,32.1,32.1,34.0,31.8,68.0
Services,31.2,34.1,31.9,31.4,28.9,28.3,30.9,34.3,31.4,31.9,32.2,31.1,33.3,32.0,35.4
Health Care,31.4,33.6,32.3,32.5,30.3,28.5,31.2,34.4,32.8,34.2,31.2,34.4,35.0,32.5,37.7
Technology & Communications,33.8,36.7,35.8,34.9,32.6,31.4,33.1,37.9,35.1,37.4,37.3,37.1,38.2,37.6,40.5
Food & Beverage,27.9,30.0,28.2,27.3,26.8,26.3,28.9,29.9,26.8,30.5,30.7,30.3,30.3,27.9,31.7
Transportation,31.1,33.3,32.8,33.0,31.5,28.9,31.2,35.4,32.1,35.4,35.3,35.6,35.3,33.7,37.1
Extractives & Minerals Processing,33.2,38.3,34.6,34.5,33.3,31.6,33.6,37.2,35.1,39.3,37.6,39.1,38.7,37.7,40.7
Renewable Resources & Alternative Energy,26.1,29.6,26.1,23.9,24.6,22.5,25.4,32.4,30.3,35.2,30.3,33.1,33.1,32.4,33.8
