,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Consumer Goods,30.90209745762712,11.376077170418007,35.647511961722486,42.26687898089172,35.258355855855854,47.17050200803213,20.789433497536947,29.25967741935484,40.5580122324159,12.45156862745098,18.08158273381295,15.844753086419752,36.00921052631579,11.141333333333334,63.05373134328359
Infrastructure,38.084544253632764,29.399128787878787,49.81716514954486,41.135224586288416,54.886765578635014,56.04889032258065,32.41050434782609,57.266806722689076,47.23540740740741,14.717391304347826,40.2590692124105,29.941649484536082,55.07330409356725,42.77777777777778,59.17226277372263
Resource Transformation,23.94103166496425,14.398836565096952,25.39125139664804,28.36654485049834,24.982030878859856,38.04577825159915,17.418500619578687,22.968999999999998,30.977656765676567,26.29534482758621,18.15589416058394,13.846141001855287,23.845238095238095,6.666666666666667,50.37734806629834
Financials,57.455257352941175,29.935000000000002,58.221023255813954,55.651803278688526,59.648280922431866,69.04006451612904,34.62693396226415,65.61868686868686,53.94752808988764,40.0,48.8433734939759,32.51282051282051,62.53181818181818,20.0,57.17976608187134
Services,33.92475177304965,19.49642156862745,40.35535849056604,44.8226875,45.72275303643725,55.95437689969605,14.78139344262295,37.19269230769231,50.199374999999996,31.25,39.2758064516129,25.226216216216216,27.283492063492062,38.17444444444445,38.16379310344828
Health Care,21.48688172043011,10.29563559322034,30.95872093023256,36.63333333333333,33.76724137931034,54.28524216524216,12.113434343434344,23.513749999999998,33.75875,0.0,16.558823529411764,10.939772727272727,23.2,0.0,31.710434782608697
Technology & Communications,36.3225974025974,22.196195826645265,40.78244350282486,44.63690938511327,38.76612446958982,51.00783870967742,26.936394293125808,43.69754385964912,43.9319093078759,34.91792452830189,27.693508771929825,22.817357512953368,51.4008,43.82909090909091,63.43788461538461
Food & Beverage,36.13188640973631,13.85763888888889,35.80855791962175,40.72276404494382,37.321241217798594,47.40091549295775,20.18277108433735,28.198019801980198,37.269220055710306,21.92063829787234,22.598173515981735,20.16346153846154,39.46046511627907,35.20967741935484,44.435421686746984
Transportation,34.93679752066116,24.009462915601024,36.17479069767442,36.8074064171123,35.33528967254408,36.248787185354686,24.91328981723238,42.470666666666666,41.79090909090909,31.85,28.380661478599222,26.681761904761906,34.907,49.02338235294118,38.91129032258065
Extractives & Minerals Processing,35.46220551378446,17.620154639175258,39.57100278551532,40.03227011494253,38.07473895582329,54.835231788079476,35.105465587044534,43.39622641509434,41.30714285714286,38.3330303030303,37.42014285714286,31.94076923076923,67.26190476190476,90.0,71.9569387755102
Renewable Resources & Alternative Energy,32.99717948717949,13.64102564102564,24.258064516129032,39.926375,30.25,58.18847457627118,36.212075471698114,33.333333333333336,34.005227272727275,9.937407407407408,63.888888888888886,18.51851851851852,16.666666666666668,0.0,90.0
