,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Consumer Goods,0.0508130081300813,0.09552845528455285,0.07520325203252033,0.06605691056910569,0.051829268292682924,0.046747967479674794,0.05894308943089431,0.10264227642276423,0.06504065040650407,0.08231707317073171,0.08536585365853659,0.08231707317073171,0.10670731707317073,0.09247967479674797,0.12296747967479675
Infrastructure,0.05603448275862069,0.07881773399014778,0.06157635467980296,0.07266009852216748,0.050492610837438424,0.034482758620689655,0.06465517241379311,0.08435960591133004,0.07820197044334976,0.06834975369458128,0.0708128078817734,0.0708128078817734,0.07204433497536945,0.06096059113300493,0.09421182266009852
Resource Transformation,0.08140085186938002,0.10932323710364411,0.09417889256980597,0.08802650260293422,0.08849976336961665,0.08140085186938002,0.10175106483672504,0.1329862754377662,0.10033128253667771,0.1329862754377662,0.11784193090392807,0.13156649313771887,0.13913866540463796,0.11784193090392807,0.14529105537150971
Financials,0.047031611410948346,0.09637625289128758,0.06399383191981496,0.08249807247494217,0.05011565150346955,0.01927525057825752,0.06245181187355436,0.09560524286815729,0.08943716268311488,0.08249807247494217,0.08095605242868158,0.08404009252120277,0.10100231303006939,0.08326908249807248,0.27062451811873556
Services,0.05365853658536585,0.0991869918699187,0.05853658536585366,0.07642276422764227,0.05203252032520325,0.03414634146341464,0.06504065040650407,0.1040650406504065,0.07479674796747968,0.08617886178861789,0.08617886178861789,0.08130081300813008,0.0910569105691057,0.07967479674796749,0.11544715447154472
Health Care,0.1035031847133758,0.14171974522292993,0.11624203821656051,0.11464968152866242,0.09872611464968153,0.07006369426751592,0.11146496815286625,0.15127388535031847,0.11624203821656051,0.14968152866242038,0.1321656050955414,0.1449044585987261,0.160828025477707,0.1321656050955414,0.1751592356687898
Technology & Communications,0.09868796349115802,0.13690815744438106,0.12093553907586994,0.11865373645179692,0.10154021677124929,0.08157444381061038,0.1026811180832858,0.14090131203650885,0.1163719338277239,0.1363377067883628,0.1289218482601255,0.13576725613234455,0.1414717626925271,0.13234455219623503,0.1551625784369652
Food & Beverage,0.03968253968253968,0.07596371882086168,0.05668934240362812,0.04421768707482993,0.03741496598639456,0.045351473922902494,0.0691609977324263,0.09297052154195011,0.045351473922902494,0.08956916099773243,0.08956916099773243,0.08276643990929705,0.09977324263038549,0.06349206349206349,0.10430839002267574
Transportation,0.08491508491508491,0.11288711288711288,0.1018981018981019,0.09090909090909091,0.0989010989010989,0.07492507492507493,0.08591408591408592,0.1258741258741259,0.08891108891108891,0.12187812187812187,0.12387612387612387,0.12687312687312688,0.12487512487512488,0.10989010989010989,0.13486513486513488
Extractives & Minerals Processing,0.06564551422319474,0.11269146608315099,0.07439824945295405,0.08205689277899343,0.0711159737417943,0.0711159737417943,0.08424507658643327,0.09409190371991247,0.08205689277899343,0.10175054704595186,0.0962800875273523,0.1061269146608315,0.09518599562363239,0.08643326039387308,0.11706783369803063
Renewable Resources & Alternative Energy,0.04225352112676056,0.07746478873239436,0.06338028169014084,0.035211267605633804,0.028169014084507043,0.035211267605633804,0.04225352112676056,0.09154929577464789,0.06338028169014084,0.09859154929577464,0.07746478873239436,0.08450704225352113,0.09154929577464789,0.08450704225352113,0.1056338028169014
