,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Consumer Goods,0.018292682926829267,0.18495934959349594,0.11788617886178862,0.032520325203252036,0.10569105691056911,0.0701219512195122,0.11788617886178862,0.4806910569105691,0.17378048780487804,0.5172764227642277,0.18292682926829268,0.12195121951219512,0.5040650406504065,0.532520325203252,0.49796747967479676
Infrastructure,0.0917487684729064,0.20997536945812809,0.11637931034482758,0.3171182266009852,0.16379310344827586,0.1545566502463054,0.20320197044334976,0.5406403940886699,0.5350985221674877,0.6373152709359606,0.3294334975369458,0.4963054187192118,0.4039408866995074,0.6711822660098522,0.5098522167487685
Resource Transformation,0.024609559867486985,0.16138192143871274,0.10884997633696167,0.05679129200189304,0.13440605773781353,0.1126360624704212,0.14197823000473261,0.48035967818267866,0.18173213440605773,0.42262186464742074,0.18977756743965926,0.20870799810695692,0.5168007572172267,0.6303833412210128,0.4718409843823947
Financials,0.12490362374710871,0.35312259059367773,0.2459521973785659,0.4302235929067078,0.2058596761757903,0.02313030069390902,0.16114109483423283,0.5327679259830378,0.5566692367000771,0.6592135697764071,0.5921356977640709,0.5921356977640709,0.5026985350809561,0.6530454895913647,0.06168080185042406
Services,0.032520325203252036,0.16097560975609757,0.12032520325203253,0.25853658536585367,0.11544715447154472,0.04227642276422764,0.06991869918699187,0.45691056910569106,0.44715447154471544,0.6308943089430894,0.4813008130081301,0.4796747967479675,0.5073170731707317,0.6227642276422765,0.46178861788617886
Health Care,0.025477707006369428,0.11624203821656051,0.13535031847133758,0.05732484076433121,0.08121019108280254,0.04617834394904458,0.04936305732484077,0.4697452229299363,0.21178343949044587,0.535031847133758,0.3535031847133758,0.2197452229299363,0.5382165605095541,0.6576433121019108,0.4840764331210191
Technology & Communications,0.02567027952082145,0.13462635482030805,0.13804905875641757,0.1551625784369652,0.12721049629207073,0.030233884768967486,0.07586993725042784,0.3827723901882487,0.2755276668568169,0.47860810039931545,0.17569880205362237,0.27096406160867087,0.4597832287507131,0.5590416428978894,0.4478037649743297
Food & Beverage,0.0045351473922902496,0.21201814058956917,0.11678004535147392,0.061224489795918366,0.10657596371882086,0.11678004535147392,0.18140589569160998,0.5204081632653061,0.15873015873015872,0.4954648526077097,0.30045351473922904,0.19047619047619047,0.5419501133786848,0.6077097505668935,0.5090702947845805
Transportation,0.058941058941058944,0.11988011988011989,0.13786213786213786,0.15284715284715283,0.15584415584415584,0.14385614385614387,0.16183816183816183,0.5134865134865135,0.3436563436563437,0.5024975024975025,0.3016983016983017,0.33766233766233766,0.4885114885114885,0.5664335664335665,0.47952047952047955
Extractives & Minerals Processing,0.09299781181619256,0.25820568927789933,0.14989059080962802,0.14113785557986872,0.2844638949671772,0.24179431072210067,0.2713347921225383,0.5164113785557987,0.18818380743982493,0.3041575492341357,0.2647702407002188,0.36542669584245074,0.526258205689278,0.5853391684901532,0.4179431072210066
Renewable Resources & Alternative Energy,0.07042253521126761,0.29577464788732394,0.19014084507042253,0.08450704225352113,0.2535211267605634,0.2746478873239437,0.28169014084507044,0.6197183098591549,0.28169014084507044,0.352112676056338,0.5563380281690141,0.3591549295774648,0.6126760563380281,0.676056338028169,0.5492957746478874
