,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Consumer Goods,0.6554878048780488,0.4735772357723577,0.5497967479674797,0.6351626016260162,0.5934959349593496,0.6290650406504065,0.5670731707317073,0.16463414634146342,0.5050813008130082,0.1483739837398374,0.4613821138211382,0.5345528455284553,0.14227642276422764,0.12601626016260162,0.13617886178861788
Infrastructure,0.5917487684729064,0.45997536945812806,0.562192118226601,0.3608374384236453,0.5344827586206896,0.5714285714285714,0.4858374384236453,0.12007389162561577,0.13854679802955666,0.04495073891625616,0.3448275862068966,0.17980295566502463,0.26539408866995073,0.014778325123152709,0.14100985221674878
Resource Transformation,0.6412683388547089,0.4992901088499763,0.5556081400851869,0.6071935636535731,0.538570752484619,0.575958353052532,0.5291055371509702,0.15806909607193564,0.4846190250828206,0.2195929957406531,0.44628490298154283,0.42309512541410316,0.11642214860388074,0.022716516800757217,0.1476573592049219
Financials,0.5443330763299923,0.3060909791827294,0.41942945258288356,0.23978411719352352,0.49113338473400153,0.6738627602158828,0.525828835774865,0.12413261372397841,0.1202775636083269,0.02158828064764842,0.08712413261372398,0.08712413261372398,0.15728604471858135,0.028527370855821126,0.2582883577486507
Services,0.6552845528455284,0.4975609756097561,0.5609756097560976,0.4276422764227642,0.5951219512195122,0.6747967479674797,0.6211382113821138,0.2,0.23902439024390243,0.05040650406504065,0.1967479674796748,0.2097560975609756,0.15934959349593497,0.056910569105691054,0.183739837398374
Health Care,0.660828025477707,0.5477707006369427,0.5414012738853503,0.6178343949044586,0.6162420382165605,0.6687898089171974,0.6385350318471338,0.18630573248407642,0.4601910828025478,0.12261146496815287,0.3343949044585987,0.43630573248407645,0.11146496815286625,0.01751592356687898,0.13853503184713375
Technology & Communications,0.6366229321163719,0.49857387335995434,0.5042783799201369,0.4957216200798631,0.547062179121506,0.6554478037649744,0.5926982316029663,0.2378779235596121,0.3730747290359384,0.14717626925270963,0.45122646891043927,0.35767256132344555,0.15801483171705646,0.06503137478608101,0.14717626925270963
Food & Beverage,0.7165532879818595,0.4875283446712018,0.6009070294784581,0.6655328798185941,0.6258503401360545,0.6201814058956916,0.5294784580498866,0.18027210884353742,0.5736961451247166,0.19954648526077098,0.3922902494331066,0.5068027210884354,0.15532879818594103,0.11337868480725624,0.17346938775510204
Transportation,0.6303696303696303,0.5474525474525475,0.5344655344655345,0.5174825174825175,0.5294705294705294,0.5674325674325674,0.5264735264735265,0.13286713286713286,0.3356643356643357,0.14385614385614387,0.34565434565434566,0.3066933066933067,0.15884115884115885,0.0969030969030969,0.14985014985014986
Extractives & Minerals Processing,0.5754923413566739,0.3588621444201313,0.5043763676148797,0.5142231947483589,0.38293216630196936,0.4420131291028446,0.3927789934354486,0.11159737417943107,0.46061269146608314,0.30306345733041573,0.3588621444201313,0.2439824945295405,0.08643326039387308,0.037199124726477024,0.175054704595186
Renewable Resources & Alternative Energy,0.6690140845070423,0.4084507042253521,0.5492957746478874,0.676056338028169,0.5,0.5,0.4647887323943662,0.056338028169014086,0.4154929577464789,0.29577464788732394,0.14084507042253522,0.30985915492957744,0.056338028169014086,0.0,0.11267605633802817
