,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Consumer Goods,0.27540650406504064,0.2459349593495935,0.2571138211382114,0.266260162601626,0.24898373983739838,0.2540650406504065,0.25609756097560976,0.25203252032520324,0.25609756097560976,0.25203252032520324,0.2703252032520325,0.2611788617886179,0.24695121951219512,0.24898373983739838,0.24288617886178862
Infrastructure,0.2604679802955665,0.2512315270935961,0.25985221674876846,0.24938423645320196,0.2512315270935961,0.2395320197044335,0.24630541871921183,0.25492610837438423,0.2481527093596059,0.24938423645320196,0.25492610837438423,0.25307881773399016,0.25862068965517243,0.25307881773399016,0.25492610837438423
Resource Transformation,0.25272124940842405,0.23000473260766682,0.24136299100804542,0.24798864174159962,0.23852342640795077,0.23000473260766682,0.22716516800757217,0.2285849503076195,0.23331755797444392,0.22479886417415995,0.24609559867486985,0.23663038334122102,0.2276384287742546,0.22905821107430194,0.2352106010411737
Financials,0.28373168851195063,0.24441017733230533,0.27062451811873556,0.24749421742482652,0.2528912875867386,0.28373168851195063,0.25057825751734775,0.24749421742482652,0.2336160370084811,0.23670007710100233,0.23978411719352352,0.23670007710100233,0.2390131071703932,0.23515805705474171,0.40940632228218965
Services,0.25853658536585367,0.24227642276422764,0.2601626016260163,0.23739837398373984,0.23739837398373984,0.24878048780487805,0.24390243902439024,0.23902439024390243,0.23902439024390243,0.23252032520325203,0.23577235772357724,0.22926829268292684,0.24227642276422764,0.24065040650406505,0.23902439024390243
Health Care,0.21019108280254778,0.1942675159235669,0.2070063694267516,0.21019108280254778,0.20382165605095542,0.21496815286624205,0.20063694267515925,0.1926751592356688,0.21178343949044587,0.1926751592356688,0.17993630573248406,0.19904458598726116,0.18949044585987262,0.1926751592356688,0.20222929936305734
Technology & Communications,0.2390188248716486,0.22989161437535655,0.2367370222475756,0.23046206503137479,0.22418710781517398,0.2327438676554478,0.22875071306332,0.23844837421563034,0.23502567027952082,0.2378779235596121,0.2441528807758129,0.23559612093553908,0.24073017683970335,0.24358243011979464,0.24985738733599544
Food & Beverage,0.23922902494331066,0.22448979591836735,0.2256235827664399,0.2290249433106576,0.23015873015873015,0.21768707482993196,0.2199546485260771,0.20634920634920634,0.2222222222222222,0.21541950113378686,0.21768707482993196,0.2199546485260771,0.20294784580498867,0.21541950113378686,0.21315192743764172
Transportation,0.22577422577422576,0.21978021978021978,0.22577422577422576,0.23876123876123875,0.21578421578421578,0.2137862137862138,0.22577422577422576,0.22777222777222778,0.23176823176823177,0.23176823176823177,0.22877122877122877,0.22877122877122877,0.22777222777222778,0.22677322677322678,0.23576423576423577
Extractives & Minerals Processing,0.2658643326039387,0.2702407002188184,0.2713347921225383,0.26258205689277897,0.2614879649890591,0.24507658643326038,0.25164113785557984,0.2778993435448578,0.26914660831509846,0.2910284463894967,0.2800875273522976,0.2844638949671772,0.2921225382932166,0.2910284463894967,0.2899343544857768
Renewable Resources & Alternative Energy,0.21830985915492956,0.21830985915492956,0.19718309859154928,0.20422535211267606,0.21830985915492956,0.19014084507042253,0.2112676056338028,0.2323943661971831,0.23943661971830985,0.2535211267605634,0.22535211267605634,0.24647887323943662,0.23943661971830985,0.23943661971830985,0.2323943661971831
