sics_sector,mean_tier1_silent,mean_tier2_not_evaluated,mean_opaque_omission_rate,high_omission_firms,total_firms
Consumer Goods,2.08,0.5,32.15,342,265
Extractives & Minerals Processing,0.8,0.22,34.06,358,209
Financials,0.82,0.13,31.56,510,295
Food & Beverage,1.8,0.42,27.81,265,215
Health Care,1.44,0.76,31.39,210,156
Infrastructure,1.01,0.2,30.34,524,388
Renewable Resources & Alternative Energy,1.03,0.2,24.65,37,40
Resource Transformation,1.44,0.54,32.88,746,521
Services,1.25,0.26,30.24,200,158
Technology & Communications,1.16,0.51,33.34,632,459
Transportation,1.57,0.65,31.65,339,247
